name,property_type,room_type,bed_type,minimum_nights,maximum_nights,cancellation_policy,accommodates,bedrooms,number_of_reviews,bathrooms,amenities,price,extra_people,last_review,Street,Country,Country_Code,Longitude,Latitude,availability_30,availability_60,availability_90,availability_365,review_scores_rating
Cozy convenient bedroom w gym Crown Heights,Apartment,Entire home/apt,Real Bed,14,1125,strict_14_with_grace_period,4,3.0,2,1.0,"['TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Gym', 'Free street parking', 'Indoor fireplace', 'Heating', 'First aid kit', 'Essentials', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Private living room', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Luggage dropoff allowed', 'Long term stays allowed', 'Host greets you']",125.00,5.00,2018-06-24 04:00:00,"Brooklyn, NY, United States",United States,US,-73.95028,40.66503,0,0,0,0,100.0
Ataşehir Varyap Meridian Floor Navigation Water,Serviced apartment,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,3,0.0,45,1.0,"['TV', 'Wifi', 'Air conditioning', 'Pool', 'Kitchen', 'Free parking on premises', 'Gym', 'Elevator', 'Heating', 'Family/kid friendly', 'Smoke detector', 'Carbon monoxide detector', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Building staff', 'Window guards', 'Room-darkening shades', 'Hot water', 'Microwave', 'Refrigerator', 'Dishwasher', 'Oven', 'Garden or backyard', 'Long term stays allowed']",269.00,89.00,2019-01-20 05:00:00,"Ataşehir, İstanbul, Turkey",Turkey,TR,29.10406,41.0009,28,58,88,363,95.0
Outstanding Glebe Apartment,Apartment,Entire home/apt,Real Bed,1,1120,strict_14_with_grace_period,4,1.0,99,1.0,"['Wifi', 'Family/kid friendly', 'Washer', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Laptop friendly workspace', 'Self check-in', 'Keypad']",135.00,15.00,2019-02-24 05:00:00,"Glebe, NSW, Australia",Australia,AU,151.19174,-33.87946,19,49,79,80,88.0
Free Parking North Star FlatsRibeira Cellars,Apartment,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,4,1.0,92,1.0,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Kitchen', 'Free parking on premises', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Smoke detector', 'First aid kit', 'Safety card', 'Fire extinguisher', 'Essentials', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Outlet covers', 'Changing table', 'High chair', 'Children’s books and toys', 'Pack ’n Play/travel crib', 'Room-darkening shades', 'Children’s dinnerware', 'Hot water', 'Bed linens', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Patio or balcony', 'Luggage dropoff allowed', 'Long term stays allowed', 'Cleaning before checkout', 'Host greets you', 'Waterfront', 'Handheld shower head']",45.00,10.00,2019-01-27 05:00:00,"Vila Nova de Gaia, Porto, Portugal",Portugal,PT,-8.61351,41.1375,21,45,64,296,99.0
Bright and quiet bedroom heart of Mile End,Apartment,Private room,Real Bed,1,30,moderate,2,1.0,92,1.0,"['Wifi', 'Free street parking', 'Heating', 'Smoke detector', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Self check-in', 'Lockbox', 'Hot water', 'Microwave', 'Coffee maker', 'Refrigerator', 'Patio or balcony', 'Host greets you']",44.00,12.00,2019-02-04 05:00:00,"Montréal, Québec, Canada",Canada,CA,-73.5954,45.52042,0,0,0,0,99.0
Copacabana Dream A Tropical Vacation,Apartment,Private room,Real Bed,3,15,flexible,2,1.0,18,2.0,"['Wifi', 'Air conditioning', 'Elevator', 'First aid kit', 'Essentials', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Iron', 'Luggage dropoff allowed', 'Long term stays allowed']",71.00,0.00,2019-01-27 05:00:00,"Rio de Janeiro, State of Rio de Janeiro, Brazil",Brazil,BR,-43.190458778122746,-22.976553790512785,1,12,26,298,100.0
Heart of Rio de Janeiro Comfort,Apartment,Entire home/apt,Real Bed,1,1125,moderate,4,1.0,4,1.0,"['TV', 'Cable TV', 'Wifi', 'Air conditioning', 'Wheelchair accessible', 'Paid parking off premises', 'Doorman', 'Elevator', 'Carbon monoxide detector', 'Essentials', 'Shampoo', 'Hangers', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Self check-in', 'Building staff', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Pocket wifi', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Long term stays allowed', 'Wide hallway clearance', 'Step-free access', 'Wide doorway', 'Flat path to front door', 'Well-lit path to entrance', 'Step-free access', 'Wide doorway', 'Wide clearance to bed', 'Accessible-height bed', 'Step-free access', 'Accessible-height toilet', 'Step-free access', 'Wide entryway']",119.00,0.00,2018-11-09 05:00:00,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,-43.17465551590793,-22.907119954309604,21,51,81,81,75.0
Affordable Guest Room,Boutique hotel,Private room,Real Bed,3,30,strict_14_with_grace_period,2,1.0,1,3.5,"['TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Free parking on premises', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Crib', 'Hot water', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'BBQ grill', 'Patio or balcony', 'Garden or backyard', 'Beach essentials', 'Luggage dropoff allowed', 'Host greets you']",166.00,0.00,2019-02-24 05:00:00,"Haleiwa, HI, United States",United States,US,-158.04346,21.6681,30,60,90,240,100.0
Rosemont Big Cozy Room,Condominium,Private room,Real Bed,2,1125,moderate,2,1.0,24,1.0,"['TV', 'Cable TV', 'Wifi', 'Kitchen', 'Free street parking', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'First aid kit', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_50', 'Private entrance', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Single level home', 'BBQ grill', 'Patio or balcony', 'Long term stays allowed', 'Host greets you']",36.00,20.00,2019-01-31 05:00:00,"Montréal, QC, Canada",Canada,CA,-73.58724,45.54516,14,28,41,221,99.0
Gorgeous Boutique Hotel Room in Taksim,Boutique hotel,Private room,Real Bed,2,1125,flexible,2,1.0,1,1.0,"['TV', 'Wifi', 'Air conditioning', 'Heating', 'Smoke detector', 'Carbon monoxide detector', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Self check-in', 'Building staff', 'Hot water', 'Luggage dropoff allowed']",179.00,0.00,2017-06-25 04:00:00,"Beyoğlu, İstanbul, Turkey",Turkey,TR,28.98641,41.04177,27,41,71,346,100.0
Elegant quiet luxury home at Bondi,House,Entire home/apt,Real Bed,5,21,strict_14_with_grace_period,7,4.0,5,3.0,"['TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Free parking on premises', 'Indoor fireplace', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'First aid kit', 'Essentials', 'Shampoo']",695.00,0.00,2019-01-03 05:00:00,"Bondi, NSW, Australia",Australia,AU,151.26359,-33.89488,21,51,81,356,96.0
Newtown comfort character and charm,House,Private room,Real Bed,1,1125,strict_14_with_grace_period,1,1.0,3,1.0,"['TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Smoking allowed', 'Pets live on this property', 'Dog(s)', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'First aid kit', 'Essentials', 'Shampoo', 'Hangers', 'Iron', 'Laptop friendly workspace', 'Private living room']",65.00,0.00,2017-05-26 04:00:00,"Newtown, NSW, Australia",Australia,AU,151.17845,-33.90528,0,0,0,0,100.0
Friendly Conveniently Home at Bondi Junction,House,Private room,Real Bed,2,30,moderate,1,1.0,25,1.0,"['Wifi', 'Kitchen', 'Breakfast', 'Free street parking', 'Washer', 'Dryer', 'Smoke detector', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Hot water', 'Other']",58.00,25.00,2019-01-01 05:00:00,"Bondi Junction, NSW, Australia",Australia,AU,151.24273,-33.89401,0,0,0,0,86.0
Apartment next to Las Ramblas and Parallel,Apartment,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,6,3.0,7,1.0,"['TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Elevator', 'Free street parking', 'Family/kid friendly', 'Washer', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Hot water', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Patio or balcony', 'Host greets you', 'Paid parking on premises']",60.00,27.00,2019-02-24 05:00:00,"Barcelona, Catalunya, Spain",Spain,ES,2.16481,41.37671,17,33,58,289,89.0
St Hubert street luxury bedroom dream Loft,House,Entire home/apt,Real Bed,1,365,strict_14_with_grace_period,4,2.0,140,1.0,"['TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Free parking on premises', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'Fire extinguisher', 'Shampoo', 'Hangers', 'Hair dryer', 'Laptop friendly workspace', 'Private entrance', 'Hot water', 'Host greets you']",199.00,50.00,2019-03-06 05:00:00,"Montréal, Québec, Canada",Canada,CA,-73.60038,45.53488,17,47,75,330,92.0
Manhattan Cozy Room by Columbia Uni,Apartment,Private room,Real Bed,2,1125,strict_14_with_grace_period,2,1.0,62,1.0,"['Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Free parking on premises', 'Gym', 'Elevator', 'Hot tub', 'Buzzer/wireless intercom', 'Heating', 'Washer', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'Fire extinguisher', 'Essentials', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Bed linens', 'Extra pillows and blankets', 'Host greets you']",53.00,25.00,2018-12-20 05:00:00,"New York, NY, United States",United States,US,-73.94754,40.80213,2,26,27,291,88.0
Luxurious Granny Flat Bella Vista,House,Entire home/apt,Real Bed,1,1125,moderate,6,2.0,151,1.0,"['TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Free street parking', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Lockbox', 'Private entrance', 'Room-darkening shades', 'Hot water', 'Bed linens', 'Microwave', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Patio or balcony', 'Luggage dropoff allowed', 'Long term stays allowed']",161.00,20.00,2019-02-28 05:00:00,"Bella Vista, NSW, Australia",Australia,AU,150.95948,-33.75052,19,41,69,242,95.0
Cosy Single Room in the Raval,Apartment,Private room,Real Bed,3,6,flexible,1,1.0,100,1.0,"['Wifi', 'Air conditioning', 'Kitchen', 'Heating', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Host greets you']",20.00,0.00,2019-02-28 05:00:00,"Barcelona, Catalunya, Spain",Spain,ES,2.16653,41.38154,5,5,5,5,96.0
Magic Escape Apartments Douro River Views,Apartment,Entire home/apt,Real Bed,2,1125,moderate,6,2.0,103,2.0,"['TV', 'Cable TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Free parking on premises', 'Heating', 'Family/kid friendly', 'Washer', 'Smoke detector', 'Carbon monoxide detector', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Keypad', 'Bathtub', 'Baby bath', 'High chair', 'Crib', 'Pack ’n Play/travel crib', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Oven', 'Stove', 'Patio or balcony', 'Luggage dropoff allowed', 'Long term stays allowed', 'Waterfront']",85.00,15.00,2019-02-08 05:00:00,"Vila Nova de Gaia, Porto, Portugal",Portugal,PT,-8.61047,41.13667,20,47,71,314,100.0
Quiet space for one,House,Private room,Real Bed,3,28,flexible,1,1.0,6,1.0,"['TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Pets live on this property', 'Dog(s)', 'Free street parking', 'Indoor fireplace', 'Heating', 'Washer', 'Smoke detector', 'First aid kit', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Bathtub', 'Children’s books and toys', 'Pack ’n Play/travel crib', 'Children’s dinnerware', 'Hot water', 'Luggage dropoff allowed', 'Long term stays allowed', 'Host greets you']",47.00,22.00,2019-02-09 05:00:00,"Rouse Hill, NSW, Australia",Australia,AU,150.92501,-33.67463,19,45,75,166,100.0
Adorable Garden Gingerbread House,Cottage,Entire home/apt,Real Bed,3,365,strict_14_with_grace_period,2,0.0,257,1.0,"['Internet', 'Wifi', 'Kitchen', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'First aid kit', 'Safety card', 'Fire extinguisher', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Lockbox', 'Private entrance', 'Baby bath', 'High chair', 'Children’s books and toys', 'Pack ’n Play/travel crib', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'BBQ grill', 'Patio or balcony', 'Garden or backyard', 'Beach essentials', 'Luggage dropoff allowed', 'Long term stays allowed', 'Well-lit path to entrance', 'Full kitchen']",175.00,35.00,2019-02-24 05:00:00,"Makawao, HI, United States",United States,US,-156.31183,20.86967,3,5,11,160,97.0
Triple Room Oceans Hotel,Apartment,Private room,Real Bed,2,1125,moderate,3,1.0,1,1.0,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Doorman', 'Breakfast', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Suitable for events', 'Smoke detector', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Building staff', 'Private entrance', 'Room-darkening shades', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Refrigerator', 'Garden or backyard', 'Luggage dropoff allowed', 'Long term stays allowed']",148.00,0.00,2018-10-21 04:00:00,"Fatih, İstanbul, Turkey",Turkey,TR,28.97887,41.00318,28,58,88,284,0.0
STUDIO IN COPACABANA,Apartment,Private room,Real Bed,1,90,strict_14_with_grace_period,2,1.0,144,1.0,"['TV', 'Wifi', 'Doorman', 'Elevator', 'Buzzer/wireless intercom', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50']",93.00,50.00,2019-01-26 05:00:00,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,-43.19289118221461,-22.980247516791014,0,29,59,326,98.0
The bathroom people on the floor of the ground can rent a thousand monthly,Apartment,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,9,3.0,27,2.0,"['TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Doorman', 'Elevator', 'Hot tub']",1484.00,100.00,2018-12-27 05:00:00,"Hong Kong, Kowloon, Hong Kong",Hong Kong,HK,114.16989,22.31377,13,31,54,151,78.0
New Furnishings Very Private Great Deal GC,Condominium,Entire home/apt,Real Bed,4,1125,super_strict_60,6,2.0,12,2.0,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Pool', 'Kitchen', 'Free parking on premises', 'Hot tub', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'Essentials', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Iron', 'Self check-in', 'Keypad', 'Private entrance']",200.00,20.00,2018-07-07 04:00:00,"Kihei, HI, United States",United States,US,-156.43694,20.68948,2,16,39,272,95.0
Quaint Polynesian Style Cabin on a Working Farm,Cabin,Entire home/apt,Real Bed,2,120,strict_14_with_grace_period,2,1.0,54,1.0,"['TV', 'Wifi', 'Kitchen', 'Free parking on premises', 'Breakfast', 'Pets live on this property', 'Smoke detector', 'Carbon monoxide detector', 'Essentials', 'Lock on bedroom door', 'Hangers', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Private entrance']",60.00,10.00,2019-03-01 05:00:00,"Hawi, HI, United States",United States,US,-155.83491,20.24861,8,19,49,324,97.0
"V Mong Kok Metro Bus is close to shopping, the preferred window is sunny, refined, clean, comfortable and comfortable double room",Serviced apartment,Private room,Real Bed,1,1125,strict_14_with_grace_period,2,1.0,64,1.0,"['TV', 'Wifi', 'Air conditioning', 'Elevator', 'Smoke detector', 'Carbon monoxide detector', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_50', 'Self check-in', 'Keypad', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Ethernet connection']",353.00,0.00,2019-02-23 05:00:00,"旺角, 旺角, Hong Kong",Hong Kong,HK,114.16735,22.32234,21,44,74,74,92.0
Apartment T Blue Beach,Apartment,Entire home/apt,Real Bed,2,90,moderate,6,4.0,11,2.0,"['TV', 'Wifi', 'Kitchen', 'Free parking on premises', 'Smoking allowed', 'Heating', 'Family/kid friendly', 'Washer', 'Essentials', 'Shampoo', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'High chair', 'Hot water', 'Bed linens', 'Extra pillows and blankets']",105.00,15.00,2019-01-08 05:00:00,"Vila do Conde, Porto, Portugal",Portugal,PT,-8.75108,41.34642,28,51,76,293,96.0
Two rooms with great view sagrada familia,Apartment,Private room,Real Bed,3,1125,strict_14_with_grace_period,3,2.0,5,1.0,"['Internet', 'Wifi', 'Paid parking off premises', 'Smoking allowed', 'Buzzer/wireless intercom', 'Heating', 'Washer', 'Dryer', 'Essentials', 'Shampoo', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'Bathtub', 'Room-darkening shades', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Patio or balcony', 'Long term stays allowed', 'Paid parking on premises']",100.00,9.00,2018-06-07 04:00:00,"Barcelona, Catalunya, Spain",Spain,ES,2.17074,41.39056,7,33,59,334,80.0
Charm and comfort in Ipanema,Apartment,Entire home/apt,Real Bed,2,16,strict_14_with_grace_period,2,2.0,24,1.0,"['TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Elevator', 'Family/kid friendly', 'Washer', 'Essentials', 'Shampoo', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Private entrance', 'Hot water', 'Host greets you']",134.00,0.00,2019-02-03 05:00:00,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,-43.20303596334958,-22.98116265720219,19,49,79,351,99.0
Enjoy your stay at CyrstalSilver house,House,Private room,Real Bed,1,1125,flexible,2,1.0,29,2.0,"['TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Free parking on premises', 'Breakfast', 'Heating', 'Family/kid friendly', 'Washer', 'Smoke detector', 'First aid kit', 'Essentials', 'Shampoo', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Bathtub']",40.00,0.00,2019-02-26 05:00:00,"Jordan Springs, NSW, Australia",Australia,AU,150.73077,-33.72241,21,38,68,343,97.0
YOUR SUNNY DOUBLE BEDROOM IN THE CENTER,Bed and breakfast,Private room,Real Bed,2,90,strict_14_with_grace_period,2,1.0,44,1.5,"['Wifi', 'Elevator', 'Buzzer/wireless intercom', 'Heating', 'Essentials', 'Shampoo', 'Lock on bedroom door', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Wide hallway clearance', 'Host greets you']",45.00,10.00,2018-10-28 04:00:00,"Barcelona, Catalonia, Spain",Spain,ES,2.15144,41.38256,0,5,17,281,89.0
Clean Quiet Sunny Dancers Apt,Apartment,Entire home/apt,Real Bed,1,30,strict_14_with_grace_period,3,1.0,48,1.0,"['TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Paid parking off premises', 'Pets live on this property', 'Cat(s)', 'Other pet(s)', 'Elevator', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'First aid kit', 'Safety card', 'Fire extinguisher', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Luggage dropoff allowed', 'Wide hallway clearance', 'Wide doorway', 'Well-lit path to entrance', 'Wide doorway', 'Wide clearance to bed', 'Step-free access', 'Wide doorway', 'Accessible-height toilet', 'Wide entryway', 'Host greets you', 'Handheld shower head']",89.00,40.00,2016-10-31 04:00:00,"New York, NY, United States",United States,US,-73.92126,40.86883,30,60,90,365,97.0
Amazing with terrace wifi,Apartment,Entire home/apt,Real Bed,2,1125,moderate,8,4.0,80,1.5,"['TV', 'Cable TV', 'Wifi', 'Kitchen', 'Free street parking', 'Heating', 'Family/kid friendly', 'Smoke detector', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Private living room', 'Private entrance', 'Bathtub', 'High chair', 'Crib', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Cooking basics', 'Stove', 'Patio or balcony', 'Long term stays allowed', 'Cleaning before checkout', 'Paid parking on premises']",100.00,20.00,2019-01-02 05:00:00,"Porto, Porto, Portugal",Portugal,PT,-8.60288,41.14728,28,52,70,106,94.0
New BD Condo in Napili Ridge Walk to Beach,Apartment,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,3,1.0,38,1.0,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Pool', 'Kitchen', 'Free parking on premises', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_50', 'Self check-in', 'Lockbox', 'Private entrance', 'Hot water', 'Long term stays allowed']",99.00,20.00,2019-02-09 05:00:00,"Lahaina, HI, United States",United States,US,-156.66917,20.98857,7,16,35,286,95.0
Bright studio apartment close to Sydney Uni,Apartment,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,2,0.0,51,1.0,"['TV', 'Wifi', 'Kitchen', 'Free street parking', 'Heating', 'Smoke detector', 'Carbon monoxide detector', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Self check-in', 'Lockbox', 'Hot water']",125.00,0.00,2019-03-04 05:00:00,"Forest Lodge, NSW, Australia",Australia,AU,151.18425,-33.8837,8,18,44,44,92.0
Self contained gardenartist studio,House,Entire home/apt,Real Bed,2,1125,moderate,2,1.0,33,1.0,"['TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Free parking on premises', 'Heating', 'Washer', 'Smoke detector', 'Carbon monoxide detector', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Self check-in', 'Lockbox', 'Private entrance', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Ethernet connection', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Stove', 'BBQ grill', 'Patio or balcony', 'Garden or backyard', 'Luggage dropoff allowed', 'Cleaning before checkout', 'Wide doorway', 'Well-lit path to entrance', 'Accessible-height bed']",80.00,0.00,2019-03-04 05:00:00,"North Willoughby, NSW, Australia",Australia,AU,151.20011,-33.79154,6,13,13,246,99.0
V Mong Kok Metro Bus is close at hand clean and comfortable firing.,Serviced apartment,Private room,Real Bed,1,1125,strict_14_with_grace_period,2,1.0,65,1.0,"['TV', 'Wifi', 'Air conditioning', 'Elevator', 'Smoke detector', 'Carbon monoxide detector', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Keypad', 'Hot water', 'Bed linens', 'Extra pillows and blankets']",338.00,0.00,2019-02-08 05:00:00,"旺角, 旺角, Hong Kong",Hong Kong,HK,114.16922,22.32124,19,43,73,73,85.0
SINGLE room Furnished KennedyTown MTR ExitB,Apartment,Private room,Real Bed,10,1125,strict_14_with_grace_period,1,1.0,4,1.5,"['Wifi', 'Air conditioning', 'Kitchen', 'Washer', 'Dryer', 'Fire extinguisher', 'Lock on bedroom door', 'Hangers', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Microwave', 'Refrigerator', 'Stove', 'Patio or balcony', 'Host greets you']",196.00,0.00,2019-03-09 05:00:00,"Hong Kong, Hong Kong Island, Hong Kong",Hong Kong,HK,114.13011,22.28175,9,13,43,43,90.0
